start_punt,eind_punt,gebruiken,project_id,afstand,hoogteverschil,meetdatum,std_afw_dh_a,std_afw_dh_b,std_afw_dh_c,,,,,,
ZOU0000003,ZOU0000002,1,189W63-ZOU,300,0.8371,01/01/1978,0,1.07,0,,,,,,
ZOU0000004,017E0041,1,189W63-ZOU,354,0.4484,01/01/1978,0,1.07,0,,,,,,
ZOU0000004,017E0063,1,189W63-ZOU,360,2.0718,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,017E0041,1,189W63-ZOU,320,0.4545,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,017E0042,1,189W63-ZOU,332,-0.155,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,ZOU0000012,1,189W63-ZOU,574,0.0297,01/01/1978,0,1.07,0,,,,,,
ZOU0000005,ZOU0000027,1,189W63-ZOU,500,-1.2804,01/01/1978,0,1.07,0,,,,,,
ZOU0000006,017E0090,1,189W63-ZOU,480,1.2304,01/01/1978,0,1.07,0,,,,,,
ZOU0000006,ZOU0000007,1,189W63-ZOU,424,0.0938,01/01/1978,0,1.07,0,,,,,,
ZOU0000007,017E0089,1,189W63-ZOU,480,2.047,01/01/1978,0,1.07,0,,,,,,
ZOU0000007,ZOU0000006,1,189W63-ZOU,424,-0.0932,01/01/1978,0,1.07,0,,,,,,
ZOU0000008,017E0086,1,189W63-ZOU,474,2.9464,01/01/1978,0,1.07,0,,,,,,
ZOU0000008,017E0089,1,189W63-ZOU,430,1.2056,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,017E0089,1,189W63-ZOU,630,0.7263,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,ZOU0000010,1,189W63-ZOU,560,-0.5235,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,ZOU0000011,1,189W63-ZOU,550,-0.4297,01/01/1978,0,1.07,0,,,,,,
ZOU0000009,ZOU0000013,1,189W63-ZOU,530,1.0288,01/01/1978,0,1.07,0,,,,,,
ZOU0000010,017E0043,1,189W63-ZOU,650,1.1436,01/01/1978,0,1.07,0,,,,,,
ZOU0000010,ZOU0000009,1,189W63-ZOU,560,0.5233,01/01/1978,0,1.07,0,,,,,,
ZOU0000011,017E0042,1,189W63-ZOU,430,2.0992,01/01/1978,0,1.07,0,,,,,,
ZOU0000011,ZOU0000009,1,189W63-ZOU,550,0.4284,01/01/1978,0,1.07,0,,,,,,
ZOU0000012,ZOU0000005,1,189W63-ZOU,574,-0.0302,01/01/1978,0,1.07,0,,,,,,
ZOU0000012,ZOU0000013,1,189W63-ZOU,350,-0.8252,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000009,1,189W63-ZOU,530,-1.0281,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000012,1,189W63-ZOU,350,0.8251,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000014,1,189W63-ZOU,520,0.3681,01/01/1978,0,1.07,0,,,,,,
ZOU0000013,ZOU0000022,1,189W63-ZOU,560,1.2858,01/01/1978,0,1.07,0,,,,,,
ZOU0000014,017E0086,1,189W63-ZOU,750,1.0695,01/01/1978,0,1.07,0,,,,,,
ZOU0000014,ZOU0000013,1,189W63-ZOU,520,-0.3681,01/01/1978,0,1.07,0,,,,,,
ZOU0000014,ZOU0000018,1,189W63-ZOU,610,1.5286,01/01/1978,0,1.07,0,,,,,,
ZOU0000015,017E0086,1,189W63-ZOU,850,-0.8797,01/01/1978,0,1.07,0,,,,,,
ZOU0000015,ZOU0000016,1,189W63-ZOU,414,0.5952,01/01/1978,0,1.07,0,,,,,,
ZOU0000015,ZOU0000017,1,189W63-ZOU,400,-1.2198,01/01/1978,0,1.07,0,,,,,,
ZOU0000016,017E0037,1,189W63-ZOU,420,0.1932,01/01/1978,0,1.07,0,,,,,,
